Country,Year,Life_expectancy,Adult_Mortality,Alcohol,percentage_expenditure,death_by_disease,deadliest_disease
Canada,2015,83,64,0,0,432.1,_HIV_AIDS
Canada,2014,82,65,8,102,655.1,_HIV_AIDS
Canada,2013,82,67,8,9734,320.1,_HIV_AIDS
Canada,2012,82,68,8,9748,211.1,_HIV_AIDS
Canada,2011,82,68,8,972,984.1,_HIV_AIDS
Canada,2010,82,7,8,8650,332.1,_HIV_AIDS
Canada,2009,81,72,8,864,236.1,_HIV_AIDS
Canada,2008,87,74,8,8434,271.1,_HIV_AIDS
Canada,2007,85,74,8,7946,218.1,_HIV_AIDS
Canada,2006,85,75,8,772,217.1,_HIV_AIDS
Canada,2005,81,76,8,6334,206.1,_HIV_AIDS
Canada,2004,80,77,7,5514,203.1,_HIV_AIDS
Canada,2003,80,78,7,4688,208.1,_HIV_AIDS
Canada,2002,80,79,7,3896,182.1,Hepatitis_B
Canada,2001,80,8,7,3666,211.1,Hepatitis_B
Canada,2000,80,82,7,3788,383.1,Hepatitis_B
