Country,diphtheria_total,measles_total,polio_total,hiv_aids_total
Afghanistan,837.00,"37,796.00",774.00,1.60
Albania,"1,569.00",854.00,"1,570.00",1.60
Algeria,"1,470.00","31,102.00","1,468.00",1.60
Angola,763.00,"56,981.00",738.00,37.90
Antigua and Barbuda,"1,573.00",0.00,"1,551.00",2.00
Argentina,"1,478.00",32.00,"1,494.00",1.60
Armenia,"1,398.00","4,388.00","1,426.00",1.60
Australia,"1,390.00","1,663.00","1,388.00",1.60
Austria,"1,388.00","1,236.00","1,376.00",1.60
Azerbaijan,"1,317.00","9,571.00","1,213.00",1.60
Bahamas,"1,532.00",0.00,"1,520.00",1.90
Bahrain,"1,569.00",107.00,"1,568.00",1.60
Bangladesh,"1,484.00","74,399.00","1,400.00",1.60
Barbados,"1,439.00",0.00,"1,285.00",4.10
Belarus,"1,475.00",397.00,"1,438.00",1.60
Belgium,"1,557.00","1,305.00","1,564.00",1.60
Belize,"1,523.00",0.00,"1,528.00",6.90
Benin,"1,087.00","17,870.00","1,083.00",27.30
Bhutan,"1,502.00","1,284.00","1,430.00",5.70
Bolivia (Plurinational State of),"1,398.00",122.00,"1,307.00",2.50
Bosnia and Herzegovina,"1,256.00","5,107.00","1,253.00",1.60
Botswana,"1,533.00","3,806.00","1,539.00",264.40
Brazil,"1,567.00","1,526.00","1,573.00",1.60
Brunei Darussalam,"1,549.00",117.00,"1,560.00",1.60
Bulgaria,"1,504.00","24,485.00","1,508.00",1.60
Burkina Faso,"1,237.00","81,468.00","1,104.00",29.40
Burundi,"1,372.00","21,592.00","1,386.00",49.40
Cabo Verde,"1,264.00",2.00,"1,350.00",8.50
Cambodia,"1,153.00","30,093.00","1,187.00",16.40
Cameroon,"1,111.00","47,668.00","1,160.00",99.40
Canada,"1,457.00","2,072.00","1,365.00",1.60
Central African Republic,679.00,"11,191.00",661.00,143.70
Chad,429.00,"75,004.00",526.00,69.40
Chile,"1,421.00",17.00,"1,338.00",1.60
China,"1,493.00","1,053,727.00","1,499.00",1.60
Colombia,"1,267.00",152.00,"1,348.00",1.60
Comoros,"1,071.00","1,002.00","1,085.00",4.50
Congo,884.00,"16,346.00",839.00,79.80
