Country,_TYPE_,_FREQ_,maximum_var,minimum_var,median_var
Afghanistan,1,16,68.00,5.00,62.50
Albania,1,16,99.00,97.00,98.00
Algeria,1,16,95.00,86.00,95.00
Angola,1,16,77.00,4.00,52.50
Antigua and Barbuda,1,16,99.00,95.00,99.00
Argentina,1,16,98.00,83.00,93.50
Armenia,1,16,95.00,9.00,93.50
Australia,1,16,93.00,9.00,92.00
Austria,1,16,98.00,81.00,84.50
Azerbaijan,1,16,96.00,75.00,80.00
Bahamas,1,16,99.00,92.00,95.50
Bahrain,1,16,99.00,97.00,98.00
Bangladesh,1,16,99.00,82.00,94.00
Barbados,1,16,97.00,84.00,91.00
Belarus,1,16,99.00,5.00,98.00
Belgium,1,16,99.00,95.00,98.00
Belize,1,16,98.00,89.00,96.00
Benin,1,16,82.00,7.00,75.50
Bhutan,1,16,99.00,86.00,95.00
Bolivia (Plurinational State of),1,16,99.00,71.00,88.00
Bosnia and Herzegovina,1,16,95.00,8.00,87.50
Botswana,1,16,97.00,95.00,96.00
Brazil,1,16,99.00,93.00,99.00
Brunei Darussalam,1,16,99.00,92.00,97.50
Bulgaria,1,16,96.00,88.00,95.00
Burkina Faso,1,16,93.00,9.00,87.00
Burundi,1,16,99.00,8.00,93.00
Cabo Verde,1,16,99.00,9.00,93.50
Cambodia,1,16,94.00,6.00,84.00
Cameroon,1,16,89.00,8.00,81.50
Canada,1,16,95.00,87.00,91.00
Central African Republic,1,16,54.00,4.00,47.00
Chad,1,16,46.00,4.00,25.50
Chile,1,16,97.00,9.00,94.00
China,1,16,99.00,85.00,95.00
Colombia,1,16,93.00,8.00,91.00
Comoros,1,16,91.00,7.00,78.50
Congo,1,16,85.00,5.00,69.50
Cook Islands,1,1,98.00,98.00,98.00
Costa Rica,1,16,95.00,9.00,89.00
Croatia,1,16,97.00,93.00,96.00
Cuba,1,16,99.00,72.00,96.00
Cyprus,1,16,99.00,97.00,98.00
Czechia,1,16,99.00,97.00,98.00
Côte d'Ivoire,1,16,85.00,8.00,75.00
Democratic People's Republic of Korea,1,16,96.00,56.00,92.00
Democratic Republic of the Congo,1,16,81.00,3.00,47.50
Denmark,1,16,98.00,9.00,93.50
Djibouti,1,16,89.00,46.00,79.50
Dominica,1,1,96.00,96.00,96.00
Dominican Republic,1,16,91.00,72.00,83.50
Ecuador,1,16,96.00,78.00,88.00
Egypt,1,16,99.00,93.00,97.00
El Salvador,1,16,99.00,9.00,92.00
Equatorial Guinea,1,16,44.00,2.00,36.50
Eritrea,1,16,98.00,9.00,94.00
Estonia,1,16,96.00,93.00,94.00
Ethiopia,1,16,77.00,3.00,50.00
Fiji,1,16,99.00,9.00,99.00
Finland,1,16,99.00,97.00,98.00
France,1,16,99.00,97.00,98.00
Gabon,1,16,82.00,7.00,45.00
Gambia,1,16,98.00,8.00,95.50
Georgia,1,16,98.00,8.00,89.50
Germany,1,16,97.00,9.00,95.00
Ghana,1,16,98.00,8.00,88.00
Greece,1,16,99.00,89.00,99.00
Grenada,1,16,99.00,83.00,97.00
Guatemala,1,16,96.00,73.00,86.00
Guinea,1,16,64.00,5.00,57.00
Guinea-Bissau,1,16,87.00,6.00,72.50
Guyana,1,16,98.00,9.00,93.00
Haiti,1,16,68.00,6.00,54.00
Honduras,1,16,98.00,92.00,96.50
Hungary,1,16,99.00,99.00,99.00
Iceland,1,16,99.00,9.00,95.50
India,1,16,87.00,7.00,65.00
Indonesia,1,16,85.00,7.00,76.50
Iran (Islamic Republic of),1,16,99.00,95.00,99.00
Iraq,1,16,79.00,8.00,69.00
Ireland,1,16,96.00,9.00,92.50
Israel,1,16,96.00,9.00,94.50
Italy,1,16,97.00,87.00,96.00
Jamaica,1,16,99.00,9.00,93.50
Japan,1,16,99.00,85.00,97.00
Jordan,1,16,99.00,91.00,98.00
Kazakhstan,1,16,99.00,82.00,98.00
Kenya,1,16,96.00,8.00,83.00
Kiribati,1,16,99.00,7.00,83.50
Kuwait,1,16,99.00,95.00,99.00
Kyrgyzstan,1,16,99.00,92.00,96.50
Lao People's Democratic Republic,1,16,89.00,5.00,59.00
Latvia,1,16,99.00,91.00,94.50
Lebanon,1,16,83.00,8.00,81.00
Lesotho,1,16,96.00,9.00,89.00
Liberia,1,16,81.00,5.00,40.50
Libya,1,16,98.00,93.00,97.50
Lithuania,1,16,98.00,92.00,94.00
Luxembourg,1,16,99.00,98.00,99.00
Madagascar,1,16,85.00,6.00,73.00
Malawi,1,16,99.00,9.00,90.00
Malaysia,1,16,99.00,94.00,96.50
Maldives,1,16,99.00,96.00,98.00
Mali,1,16,78.00,43.00,69.00
Malta,1,16,99.00,72.00,94.00
Marshall Islands,1,1,79.00,79.00,79.00
Mauritania,1,16,89.00,7.00,72.00
Mauritius,1,16,99.00,88.00,97.50
Mexico,1,16,99.00,83.00,97.00
Micronesia (Federated States of),1,16,94.00,67.00,82.50
Monaco,1,1,99.00,99.00,99.00
Mongolia,1,16,99.00,94.00,98.00
Montenegro,1,16,95.00,9.00,93.00
Morocco,1,16,99.00,91.00,98.50
Mozambique,1,16,85.00,7.00,75.50
Myanmar,1,16,89.00,9.00,82.00
Namibia,1,16,92.00,77.00,83.00
Nauru,1,1,87.00,87.00,87.00
Nepal,1,16,92.00,8.00,82.00
Netherlands,1,16,98.00,95.00,97.00
New Zealand,1,16,95.00,9.00,89.00
Nicaragua,1,16,98.00,79.00,95.00
Niger,1,16,75.00,7.00,54.00
Nigeria,1,16,63.00,4.00,42.00
Niue,1,1,99.00,99.00,99.00
Norway,1,16,95.00,9.00,93.00
Oman,1,16,99.00,98.00,99.00
Pakistan,1,16,82.00,62.00,72.00
Palau,1,1,99.00,99.00,99.00
Panama,1,16,99.00,8.00,87.50
Papua New Guinea,1,16,79.00,55.00,71.50
Paraguay,1,16,98.00,85.00,89.00
Peru,1,16,98.00,9.00,93.00
Philippines,1,16,91.00,6.00,87.00
Poland,1,16,99.00,98.00,99.00
Portugal,1,16,99.00,93.00,97.00
Qatar,1,16,99.00,8.00,96.00
Republic of Korea,1,16,99.00,88.00,97.00
Republic of Moldova,1,16,98.00,9.00,92.50
Romania,1,16,99.00,89.00,96.00
Russian Federation,1,16,98.00,96.00,97.00
Rwanda,1,16,99.00,9.00,97.00
Saint Kitts and Nevis,1,1,96.00,96.00,96.00
Saint Lucia,1,16,99.00,7.00,96.50
Saint Vincent and the Grenadines,1,16,99.00,96.00,99.00
Samoa,1,16,95.00,26.00,63.50
San Marino,1,1,69.00,69.00,69.00
Sao Tome and Principe,1,16,99.00,82.00,96.00
Saudi Arabia,1,16,98.00,95.00,97.50
Senegal,1,16,94.00,6.00,88.50
Serbia,1,16,98.00,88.00,94.00
Seychelles,1,16,99.00,96.00,99.00
Sierra Leone,1,16,92.00,38.00,75.00
Singapore,1,16,98.00,94.00,96.00
Slovakia,1,16,99.00,96.00,99.00
Slovenia,1,16,97.00,91.00,95.00
Solomon Islands,1,16,99.00,9.00,88.50
Somalia,1,16,45.00,3.00,34.00
South Africa,1,16,82.00,7.00,73.50
South Sudan,1,16,61.00,31.00,45.00
Spain,1,16,98.00,95.00,97.00
Sri Lanka,1,16,99.00,97.00,99.00
Sudan,1,16,94.00,6.00,79.50
Suriname,1,16,96.00,68.00,84.50
Swaziland,1,16,98.00,9.00,87.00
Sweden,1,16,99.00,98.00,98.00
Switzerland,1,16,97.00,93.00,94.50
Syrian Arab Republic,1,16,84.00,8.00,44.00
Tajikistan,1,16,97.00,83.00,86.00
Thailand,1,16,99.00,96.00,98.50
The former Yugoslav republic of Macedonia,1,16,98.00,91.00,95.00
Timor-Leste,1,16,83.00,7.00,69.50
Togo,1,16,88.00,5.00,82.00
Tonga,1,16,91.00,8.00,83.00
Trinidad and Tobago,1,16,96.00,9.00,91.50
Tunisia,1,16,99.00,95.00,98.00
Turkey,1,16,98.00,9.00,96.00
Turkmenistan,1,16,99.00,83.00,97.00
Tuvalu,1,1,9.00,9.00,9.00
Uganda,1,16,82.00,8.00,67.50
Ukraine,1,16,99.00,5.00,86.00
United Arab Emirates,1,16,99.00,92.00,94.00
United Kingdom of Great Britain and Northern Ireland,1,16,96.00,91.00,92.00
United Republic of Tanzania,1,16,98.00,9.00,88.00
United States of America,1,16,96.00,94.00,95.00
Uruguay,1,16,96.00,9.00,95.00
Uzbekistan,1,16,99.00,96.00,99.00
Vanuatu,1,16,71.00,7.00,65.50
Venezuela (Bolivarian Republic of),1,16,87.00,5.00,78.00
Viet Nam,1,16,99.00,59.00,95.00
Yemen,1,16,79.00,61.00,73.00
Zambia,1,16,94.00,8.00,83.00
Zimbabwe,1,16,95.00,7.00,75.00
