Country,_TYPE_,_FREQ_,maximum_var,minimum_var,median_var
Afghanistan,1,16,65.00,54.80,57.80
Albania,1,16,77.80,72.60,75.60
Algeria,1,16,75.60,71.30,73.95
Angola,1,16,56.00,45.30,48.45
Antigua and Barbuda,1,16,76.40,73.60,75.10
Argentina,1,16,76.30,74.00,75.30
Armenia,1,16,74.80,72.00,73.25
Australia,1,16,86.00,79.50,81.80
Austria,1,16,88.00,78.10,81.05
Azerbaijan,1,16,78.00,66.60,71.35
Bahamas,1,16,76.10,72.60,74.45
Bahrain,1,16,76.90,74.50,75.70
Bangladesh,1,16,77.00,65.30,68.85
Barbados,1,16,75.50,73.30,74.30
Belarus,1,16,73.00,67.20,69.90
Belgium,1,16,89.00,77.60,79.50
Belize,1,16,71.00,68.20,69.40
Benin,1,16,60.00,55.40,57.35
Bhutan,1,16,69.80,61.70,66.75
Bolivia (Plurinational State of),1,16,77.00,62.60,67.10
Bosnia and Herzegovina,1,16,77.40,74.60,75.85
Botswana,1,16,65.70,46.00,57.20
Brazil,1,16,75.00,71.00,73.50
Brunei Darussalam,1,16,78.30,74.40,76.60
Bulgaria,1,16,74.50,71.10,72.75
Burkina Faso,1,16,59.90,51.00,56.05
Burundi,1,16,59.60,51.30,55.75
Cabo Verde,1,16,77.00,69.90,72.45
Cambodia,1,16,68.70,57.70,65.30
Cameroon,1,16,57.30,51.40,53.90
Canada,1,16,87.00,79.10,81.35
Central African Republic,1,16,58.00,45.60,47.20
Chad,1,16,57.00,47.60,49.50
Chile,1,16,85.00,77.30,79.00
China,1,16,76.10,71.70,74.45
Colombia,1,16,74.80,71.40,73.50
Comoros,1,16,66.00,59.50,61.55
Congo,1,16,68.00,52.60,58.80
Cook Islands,1,1,,,
Costa Rica,1,16,79.60,77.50,78.75
Croatia,1,16,78.00,74.70,75.95
Cuba,1,16,79.10,76.70,78.00
Cyprus,1,16,85.00,78.10,79.00
Czechia,1,16,78.80,74.70,76.90
Côte d'Ivoire,1,16,54.00,47.70,50.45
Democratic People's Republic of Korea,1,16,76.00,65.40,68.55
Democratic Republic of the Congo,1,16,59.80,51.30,56.00
Denmark,1,16,86.00,76.90,78.60
Djibouti,1,16,69.00,57.40,60.55
Dominica,1,1,,,
Dominican Republic,1,16,73.90,69.30,72.80
Ecuador,1,16,76.20,72.80,74.65
Egypt,1,16,79.00,68.60,69.75
