Country,_TYPE_,_FREQ_,maximum_var,minimum_var,median_var
Afghanistan,1,16,669.96,25.29,321.20
Albania,1,16,4575.8,35.13,1390.3
Algeria,1,16,5564.8,31.12,3031.8
Angola,1,16,4598.2,141.87,1111.7
Antigua and Barbuda,1,16,14252,1312.5,11651
Argentina,1,16,13467,333.44,7431.4
Armenia,1,16,3994.7,41.27,1901.0
Australia,1,16,67792,281.82,39431
Austria,1,16,51386,443.99,40954
Azerbaijan,1,16,7891.3,55.31,2026.1
Bahamas,1,16,,,
Bahrain,1,16,24983,251.18,13252
Bangladesh,1,16,951.89,4.61,489.34
Barbados,1,16,16523,1228.5,14792
Belarus,1,16,8318.4,63.39,3487.5
Belgium,1,16,48425,2327.5,4570.0
Belize,1,16,4852.2,447.23,4223.1
Benin,1,16,943.69,61.80,604.67
Bhutan,1,16,2613.6,87.94,1291.5
Bolivia (Plurinational State of),1,16,,,
Bosnia and Herzegovina,1,16,5193.9,55.16,1643.0
Botswana,1,16,7645.2,77.63,5268.5
Brazil,1,16,13167,359.59,5526.3
Brunei Darussalam,1,16,47651,188.45,17701
Bulgaria,1,16,7853.3,169.29,6388.1
Burkina Faso,1,16,699.45,26.76,448.87
Burundi,1,16,312.75,15.57,130.59
Cabo Verde,1,16,3639.0,234.29,1872.7
Cambodia,1,16,1163.2,3.69,418.32
Cameroon,1,16,1441.1,12.99,888.53
Canada,1,16,52497,544.43,30076
Central African Republic,1,16,494.34,243.16,348.03
Chad,1,16,989.24,22.85,373.63
Chile,1,16,15941,511.37,4529.6
China,1,16,7683.5,153.18,1218.6
Colombia,1,16,7913.4,83.59,2434.0
Comoros,1,16,852.95,72.76,688.02
Congo,1,16,,,
Cook Islands,1,1,,,
Costa Rica,1,16,9985.4,388.36,4074.6
Croatia,1,16,15894,653.72,11472
Cuba,1,16,6425.9,75.52,3093.5
Cyprus,1,16,32234,1562.9,9245.7
Czechia,1,16,,,
Côte d'Ivoire,1,16,,,
Democratic People's Republic of Korea,1,16,,,
Democratic Republic of the Congo,1,16,,,
Denmark,1,16,64323,3743.6,39870
Djibouti,1,16,1862.2,94.73,842.08
Dominica,1,1,722.76,722.76,722.76
Dominican Republic,1,16,6468.5,38.47,3759.0
Ecuador,1,16,6432.2,193.74,650.30
Egypt,1,16,,,
El Salvador,1,16,4127.1,248.41,2734.0
Equatorial Guinea,1,16,22742,172.68,2497.5
Eritrea,1,16,582.78,21.77,282.09
Estonia,1,16,19941,47.33,5836.6
Ethiopia,1,16,645.46,12.18,218.56
Fiji,1,16,4921.9,238.89,3510.7
Finland,1,16,49915,579.72,25874
France,1,16,45414,416.58,31783
Gabon,1,16,9774.2,194.27,5288.8
Gambia,1,16,,,
Georgia,1,16,4429.7,127.37,2182.4
Germany,1,16,45699,2525.2,28942
Ghana,1,16,1814.5,19.69,710.55
Greece,1,16,31997,187.79,21774
Grenada,1,16,9212.2,519.96,7043.7
Guatemala,1,16,3923.6,171.77,2562.9
Guinea,1,16,562.00,33.42,319.33
Guinea-Bissau,1,16,692.70,36.57,421.95
Guyana,1,16,4136.7,43.82,1466.2
Haiti,1,16,814.55,55.48,438.11
Honduras,1,16,2326.2,113.45,1515.1
Hungary,1,16,15669,527.85,11280
Iceland,1,16,68348,46.22,31905
India,1,16,1613.2,19.32,706.79
Indonesia,1,16,3688.0,78.93,1367.4
Iran (Islamic Republic of),1,16,,,
Iraq,1,16,6925.2,452.75,3432.2
Ireland,1,16,61388,4117.2,40085
Israel,1,16,37583,236.20,19418
Italy,1,16,38335,24.82,29281
Jamaica,1,16,4966.0,56.14,3430.0
Japan,1,16,48168,3488.4,34160
Jordan,1,16,3992.9,223.84,1770.3
Kazakhstan,1,16,12387,97.65,2266.3
Kenya,1,16,1350.0,41.78,768.42
Kiribati,1,16,1763.8,113.63,1327.5
Kuwait,1,16,55572,1655.0,38032
Kyrgyzstan,1,16,,,
Lao People's Democratic Republic,1,16,,,
Latvia,1,16,16349,1372.7,6955.3
Lebanon,1,16,8787.9,84.27,5356.1
Lesotho,1,16,1352.4,47.89,917.10
Liberia,1,16,458.47,21.37,181.17
Libya,1,16,14396,375.44,2987.0
Lithuania,1,16,16555,353.15,11911
Luxembourg,1,16,119173,1199.8,48458
Madagascar,1,16,461.72,41.86,304.48
Malawi,1,16,512.13,26.15,285.96
Malaysia,1,16,11184,145.13,4709.6
Maldives,1,16,8395.8,32.37,3670.9
Mali,1,16,835.89,36.85,558.64
Malta,1,16,23819,1121.8,7259.8
Marshall Islands,1,1,3617.8,3617.8,3617.8
Mauritania,1,16,1393.3,46.95,503.03
Mauritius,1,16,9637.3,8.38,5173.2
Mexico,1,16,9834.5,672.92,6975.8
Micronesia (Federated States of),1,16,,,
Monaco,1,1,,,
Mongolia,1,16,4385.4,265.35,1484.7
Montenegro,1,16,7378.3,199.58,6209.2
Morocco,1,16,3154.5,213.76,2070.1
Mozambique,1,16,623.29,53.13,377.46
Myanmar,1,16,1262.9,41.45,470.46
Namibia,1,16,5749.4,56.97,3430.7
Nauru,1,1,136.18,136.18,136.18
Nepal,1,16,743.77,48.73,333.26
Netherlands,1,16,56929,519.35,40766
New Zealand,1,16,42890,282.94,9047.2
Nicaragua,1,16,1975.5,11.15,1259.7
Niger,1,16,416.15,25.38,275.51
Nigeria,1,16,3221.7,87.89,892.82
Niue,1,1,,,
Norway,1,16,87647,817.78,8571.9
Oman,1,16,22135,861.19,2722.4
Pakistan,1,16,1431.2,14.14,606.72
Palau,1,1,1932.1,1932.1,1932.1
Panama,1,16,13134,46.30,4754.2
Papua New Guinea,1,16,2182.7,77.58,631.95
Paraguay,1,16,4712.8,148.53,1481.4
Peru,1,16,6583.1,63.34,2601.5
Philippines,1,16,2878.3,1.68,1532.2
Poland,1,16,14342,94.77,5445.2
Portugal,1,16,24816,1152.4,12306
Qatar,1,16,88565,675.61,37998
Republic of Korea,1,16,,,
Republic of Moldova,1,16,,,
Romania,1,16,9585.3,12.28,3163.9
Russian Federation,1,16,15544,21.36,4149.3
Rwanda,1,16,688.88,5.67,226.54
Saint Kitts and Nevis,1,1,,,
Saint Lucia,1,16,,,
Saint Vincent and the Grenadines,1,16,,,
Samoa,1,16,4234.6,154.69,1991.4
San Marino,1,1,,,
Sao Tome and Principe,1,16,1821.9,51.22,693.35
Saudi Arabia,1,16,24934,237.83,9347.2
Senegal,1,16,773.87,11.34,142.68
Serbia,1,16,6423.3,62.17,3828.9
Seychelles,1,16,15687,184.68,7621.0
Sierra Leone,1,16,587.54,45.13,263.45
Singapore,1,16,56337,2216.8,36079
Slovakia,1,16,,,
Slovenia,1,16,24985,242.67,7283.4
Solomon Islands,1,16,1922.4,29.65,801.70
Somalia,1,16,426.99,47.54,417.89
South Africa,1,16,7548.2,337.23,5700.8
South Sudan,1,16,1678.7,176.97,1169.0
Spain,1,16,35579,296.47,18410
Sri Lanka,1,16,3844.9,174.67,855.42
Sudan,1,16,2513.9,361.36,1171.3
Suriname,1,16,9564.5,36.49,4678.6
Swaziland,1,16,3934.3,22.99,2686.0
Sweden,1,16,59593,4385.4,29428
Switzerland,1,16,87998,4796.6,60286
Syrian Arab Republic,1,16,1762.2,148.85,1255.9
Tajikistan,1,16,954.73,14.21,163.91
Thailand,1,16,6171.3,27.56,3670.6
The former Yugoslav republic of Macedonia,1,16,,,
Timor-Leste,1,16,1161.8,48.62,474.89
Togo,1,16,579.43,26.39,374.75
Tonga,1,16,4266.6,37.85,2063.4
Trinidad and Tobago,1,16,21188,129.52,1960.9
Tunisia,1,16,4271.7,414.15,3283.1
Turkey,1,16,12543,64.73,1826.0
Turkmenistan,1,16,7962.4,26.37,1125.9
Tuvalu,1,1,3542.1,3542.1,3542.1
Uganda,1,16,719.17,24.24,393.08
Ukraine,1,16,3891.4,78.74,1123.4
United Arab Emirates,1,16,45759,3161.5,17887
United Kingdom of Great Britain and Northern Ireland,1,16,,,
United Republic of Tanzania,1,16,,,
United States of America,1,16,,,
Uruguay,1,16,16881,79.70,6079.6
Uzbekistan,1,16,2137.6,25.45,460.93
Vanuatu,1,16,3275.9,158.53,2139.9
Venezuela (Bolivarian Republic of),1,16,,,
Viet Nam,1,16,,,
Yemen,1,16,,,
Zambia,1,16,1738.9,13.15,560.24
