Country,_TYPE_,_FREQ_,maximum_var,minimum_var,median_var
Afghanistan,1,16,0.03,0.01,0.01
Albania,1,16,5.79,3.66,4.95
Algeria,1,16,0.66,0.01,0.45
Angola,1,16,8.33,1.85,6.35
Antigua and Barbuda,1,16,8.93,7.16,7.84
Argentina,1,16,8.41,7.53,7.93
Armenia,1,16,4.25,2.86,3.91
Australia,1,16,10.76,9.53,10.17
Austria,1,16,13.20,11.30,12.26
Azerbaijan,1,16,2.14,0.01,0.73
Bahamas,1,16,12.15,9.19,10.15
Bahrain,1,16,2.16,1.57,1.99
Bangladesh,1,16,0.01,0.01,0.01
Barbados,1,16,8.95,7.38,8.41
Belarus,1,16,17.31,10.74,13.94
Belgium,1,16,12.60,10.05,11.01
Belize,1,16,7.24,4.79,6.56
Benin,1,16,1.40,0.01,1.19
Bhutan,1,16,0.96,0.01,0.21
Bolivia (Plurinational State of),1,16,3.95,2.20,3.47
Bosnia and Herzegovina,1,16,5.16,3.64,4.54
Botswana,1,16,6.56,0.01,5.51
Brazil,1,16,7.58,6.85,7.21
Brunei Darussalam,1,16,0.97,0.01,0.25
Bulgaria,1,16,12.06,9.69,10.89
Burkina Faso,1,16,4.88,0.01,4.55
Burundi,1,16,6.61,0.01,4.50
Cabo Verde,1,16,5.28,0.01,4.16
Cambodia,1,16,2.24,0.01,1.71
Cameroon,1,16,6.19,0.01,4.71
Canada,1,16,8.40,7.60,8.20
Central African Republic,1,16,1.67,0.01,1.50
Chad,1,16,0.64,0.01,0.42
Chile,1,16,7.93,6.06,7.20
China,1,16,5.79,2.84,3.88
Colombia,1,16,4.66,4.25,4.41
Comoros,1,16,0.27,0.01,0.12
Congo,1,16,3.82,0.01,2.45
Cook Islands,1,1,0.01,0.01,0.01
Costa Rica,1,16,4.34,3.34,4.09
Croatia,1,16,13.78,11.49,12.21
Cuba,1,16,4.48,3.92,4.16
Cyprus,1,16,13.03,0.01,10.80
Czechia,1,16,13.47,12.43,13.19
Côte d'Ivoire,1,16,3.45,0.01,3.12
Democratic People's Republic of Korea,1,16,3.61,0.01,3.16
Democratic Republic of the Congo,1,16,2.13,0.01,1.81
Denmark,1,16,11.69,9.26,10.99
Djibouti,1,16,1.34,0.38,0.53
Dominica,1,1,0.01,0.01,0.01
Dominican Republic,1,16,6.58,5.16,6.05
Ecuador,1,16,4.13,3.52,3.82
Egypt,1,16,0.24,0.14,0.21
El Salvador,1,16,3.10,2.36,2.77
Equatorial Guinea,1,16,11.89,0.01,7.19
Eritrea,1,16,1.23,0.01,0.62
Estonia,1,16,17.87,0.01,11.64
Ethiopia,1,16,1.86,0.01,1.06
Fiji,1,16,2.31,0.01,1.93
Finland,1,16,10.45,8.59,9.72
France,1,16,13.89,11.10,12.20
Gabon,1,16,9.29,0.01,8.64
Gambia,1,16,3.48,0.01,2.47
Georgia,1,16,8.65,2.72,6.13
Germany,1,16,12.91,10.94,11.50
Ghana,1,16,1.78,0.01,1.53
Greece,1,16,9.95,7.46,9.00
